orgid,ccn,location,summaryYM,infcount,numPred,numucathdays,SIR,SIR_pval,SIR95CI,
16034,110011,1W,2024M07,0,0.094,118,.,.,,
16034,110011,1W,2024M08,1,0.169,211,.,.,,
16034,110011,1W,2024M09,0,0.163,204,.,.,,
16034,110011,1W,2024M10,0,0.162,203,.,.,,
16034,110011,1W,2024M11,1,0.128,160,.,.,,
16034,110011,2W,2024M07,0,0.022,28,.,.,,
16034,110011,2W,2024M08,0,0.021,26,.,.,,
16034,110011,2W,2024M09,0,0.014,17,.,.,,
16034,110011,2W,2024M10,0,0.016,20,.,.,,
16034,110011,2W,2024M11,0,0.013,16,.,.,,
16034,110011,3E,2024M07,0,0.112,126,.,.,,
16034,110011,3E,2024M08,0,0.143,161,.,.,,
16034,110011,3E,2024M09,0,0.126,142,.,.,,
16034,110011,3E,2024M10,0,0.106,119,.,.,,
16034,110011,3E,2024M11,0,0.139,156,.,.,,
16034,110011,CPCU,2024M07,0,0.102,102,.,.,,
16034,110011,CPCU,2024M08,0,0.077,77,.,.,,
16034,110011,CPCU,2024M09,0,0.081,81,.,.,,
16034,110011,CPCU,2024M10,0,0.069,69,.,.,,
16034,110011,CPCU,2024M11,0,0.064,64,.,.,,
16034,110011,CTN4,2024M07,0,0,0,.,.,,
16034,110011,CTN4,2024M08,0,0,0,.,.,,
16034,110011,CTN4,2024M09,0,0,0,.,.,,
16034,110011,CTN4,2024M10,0,0,0,.,.,,
16034,110011,CTN4,2024M11,0,0,0,.,.,,
16034,110011,CTN8,2024M07,1,0.098,110,.,.,,
16034,110011,CTN8,2024M08,0,0.123,139,.,.,,
16034,110011,CTN8,2024M09,0,0.123,139,.,.,,
16034,110011,CTN8,2024M10,1,0.118,133,.,.,,
16034,110011,CTN8,2024M11,0,0.088,99,.,.,,
16034,110011,CTN9,2024M07,0,0.121,136,.,.,,
16034,110011,CTN9,2024M08,0,0.099,112,.,.,,
16034,110011,CTN9,2024M09,0,0.13,146,.,.,,
16034,110011,CTN9,2024M10,1,0.136,153,.,.,,
16034,110011,CTN9,2024M11,0,0.073,82,.,.,,
16034,110011,CV ICU,2024M07,0,0.037,41,.,.,,
16034,110011,CV ICU,2024M08,0,0.021,23,.,.,,
16034,110011,CV ICU,2024M09,0,0.021,23,.,.,,
16034,110011,CV ICU,2024M10,0,0.024,27,.,.,,
16034,110011,CV ICU,2024M11,0,0.035,39,.,.,,
16034,110011,ICU,2024M07,0,0.159,178,.,.,,
16034,110011,ICU,2024M08,0,0.181,202,.,.,,
16034,110011,ICU,2024M09,0,0.187,209,.,.,,
16034,110011,ICU,2024M10,0,0.167,186,.,.,,
16034,110011,ICU,2024M11,0,0.166,185,.,.,,
